activity_id,week,location_id,co_share_group
A011,19,PLAT:BET:S16:EB,b1
A011,19,PLAT:BET:S17:EB,b1
A011,19,SEC:BET:S15_S16:EB,b1
A011,19,SEC:BET:S16_S17:EB,b1
A011,26,PLAT:BET:S15:EB,b1
A011,26,PLAT:BET:S16:EB,b1
A011,26,PLAT:BET:S17:EB,b1
A011,26,SEC:BET:S15_S16:EB,b1
A011,26,SEC:BET:S16_S17:EB,b1
A012,4,PLAT:BET:H01:WB,b1
A012,4,PLAT:BET:H02:WB,b1
A012,4,PLAT:BET:S15:WB,b1
A012,4,SEC:BET:H01_H02:WB,b1
A012,4,SEC:BET:H02_S15:WB,b1
A012,5,PLAT:BET:H01:WB,b1
A012,5,PLAT:BET:H02:WB,b1
A012,5,PLAT:BET:S15:WB,b1
A012,5,SEC:BET:H01_H02:WB,b1
A012,5,SEC:BET:H02_S15:WB,b1
A012,6,PLAT:BET:H01:WB,b1
A012,6,PLAT:BET:H02:WB,b1
A012,6,PLAT:BET:S15:WB,b1
A012,6,SEC:BET:H01_H02:WB,b1
A012,6,SEC:BET:H02_S15:WB,b1
A012,9,PLAT:BET:H01:WB,b1
A012,9,PLAT:BET:H02:WB,b1
A012,9,PLAT:BET:S15:WB,b1
A012,9,SEC:BET:H01_H02:WB,b1
A012,9,SEC:BET:H02_S15:WB,b1
A012,11,PLAT:BET:H01:WB,b1
A012,11,PLAT:BET:H02:WB,b1
A012,11,PLAT:BET:S15:WB,b1
A012,11,SEC:BET:H01_H02:WB,b1
A012,11,SEC:BET:H02_S15:WB,b1
A012,13,PLAT:BET:H01:WB,b1
A012,13,PLAT:BET:H02:WB,b1
A012,13,PLAT:BET:S15:WB,b1
A012,13,SEC:BET:H01_H02:WB,b1
A012,13,SEC:BET:H02_S15:WB,b1
A012,21,PLAT:BET:H01:WB,b1
A012,21,PLAT:BET:H02:WB,b1
A012,21,PLAT:BET:S15:WB,b1
A012,21,SEC:BET:H01_H02:WB,b1
A012,21,SEC:BET:H02_S15:WB,b1
A013,22,PLAT:ALP:S05:WB,b1
A013,22,PLAT:ALP:S06:WB,b1
A013,22,SEC:ALP:S05_S06:WB,b1
A013,23,PLAT:ALP:S05:WB,b1
A013,23,PLAT:ALP:S06:WB,b1
A013,23,SEC:ALP:S05_S06:WB,b1
A013,24,PLAT:ALP:S05:WB,b1
A013,24,PLAT:ALP:S06:WB,b1
A013,24,SEC:ALP:S05_S06:WB,b1
A013,25,PLAT:ALP:S05:WB,b1
A013,25,PLAT:ALP:S06:WB,b1
A013,25,SEC:ALP:S05_S06:WB,b1
A013,26,PLAT:ALP:S05:WB,b1
A013,26,PLAT:ALP:S06:WB,b1
A013,26,SEC:ALP:S05_S06:WB,b1
A014,14,PLAT:ALP:S07:EB,b1
A014,14,PLAT:ALP:S08:EB,b1
A014,14,SEC:ALP:S07_S08:EB,b1
A014,17,PLAT:ALP:S07:EB,b1
A014,17,PLAT:ALP:S08:EB,b1
A014,17,SEC:ALP:S07_S08:EB,b1
A014,20,PLAT:ALP:S07:EB,b1
A014,20,PLAT:ALP:S08:EB,b1
A014,20,SEC:ALP:S07_S08:EB,b1
A014,22,PLAT:ALP:S07:EB,b1
A014,22,PLAT:ALP:S08:EB,b1
A014,22,SEC:ALP:S07_S08:EB,b1
A014,23,PLAT:ALP:S07:EB,b1
A014,23,PLAT:ALP:S08:EB,b1
A014,23,SEC:ALP:S07_S08:EB,b1
A014,24,PLAT:ALP:S07:EB,b1
A014,24,PLAT:ALP:S08:EB,b1
A014,24,SEC:ALP:S07_S08:EB,b1
A014,26,PLAT:ALP:S07:EB,b1
A014,26,PLAT:ALP:S08:EB,b1
A014,26,SEC:ALP:S07_S08:EB,b1
A017,19,PLAT:BET:H01:EB,b1
A017,19,PLAT:BET:H02:EB,b1
A017,19,PLAT:BET:S15:EB,b1
A017,19,PLAT:BET:S16:EB,b1
A017,19,SEC:BET:H01_H02:EB,b1
A017,19,SEC:BET:H02_S15:EB,b1
A017,19,SEC:BET:S15_S16:EB,b1
A017,21,PLAT:BET:H01:EB,b1
A017,21,PLAT:BET:H02:EB,b1
A017,21,PLAT:BET:S15:EB,b1
A017,21,PLAT:BET:S16:EB,b1
A017,21,SEC:BET:H01_H02:EB,b1
A017,21,SEC:BET:H02_S15:EB,b1
A017,21,SEC:BET:S15_S16:EB,b1
A017,22,PLAT:BET:H01:EB,b1
A017,22,PLAT:BET:H02:EB,b1
A017,22,PLAT:BET:S15:EB,b1
A017,22,PLAT:BET:S16:EB,b1
A017,22,SEC:BET:H01_H02:EB,b1
A017,22,SEC:BET:H02_S15:EB,b1
A017,22,SEC:BET:S15_S16:EB,b1
A017,23,PLAT:BET:H01:EB,b1
A017,23,PLAT:BET:H02:EB,b1
A017,23,PLAT:BET:S15:EB,b1
A017,23,PLAT:BET:S16:EB,b1
A017,23,SEC:BET:H01_H02:EB,b1
